Transaction.Output.ID,Transaction.Output.Address,Transactions.Output.Value
285480,2239719,2.47032822920623e-317
286171,3882715,2.47032822920623e-317
288759,1001335,1.69958582169389e-314
289719,5497852,9.88131291682493e-318
290397,5612453,1.90709339294721e-315
290810,1480129,2.46983416356039e-314
291218,5883023,8.46087418503135e-314
291402,6197372,2.47032822920623e-317
291495,367620,8.3225358041958e-314
292048,5159874,4.94065645841247e-318
292124,3163900,7.85564376887582e-314
292564,4146352,9.88131291682493e-318
293360,1943259,2.47032822920623e-317
294413,4328461,2.47032822920623e-317
295457,18887,7.99497028100305e-314
296936,2314330,9.88131291682493e-315
297725,4947338,1.43279037293961e-316
297808,4375266,4.89124989382834e-316
298578,1881389,1.29939264856248e-315
298766,170820,2.22329540628561e-316
298885,4410125,1.48219693752374e-317
299012,4157042,2.47032822920623e-317
300034,3838844,2.47032822920623e-315
301623,6193350,2.47032822920623e-317
302215,815464,4.65409838382454e-317
302234,3475241,2.70500941098082e-314
302377,604203,2.47032822920623e-317
306295,3742154,4.94065645841247e-318
307074,1753681,1.05680641645443e-314
307642,5813966,5.33590897508546e-316
308563,4401131,1.48219693752374e-317
310049,637735,2.47032822920623e-317
310258,6107156,2.47032822920623e-315
310384,32387,1.23516411460312e-315
310677,2370427,2.2183547498272e-314
311084,2310874,9.88131291682493e-316
311265,2866975,5.03946958758071e-316
311494,4070720,2.47032822920623e-316
311631,912602,2.47032822920623e-317
312478,471923,2.47032822920623e-317
312769,4655350,4.94065645841247e-318
313022,1279810,2.6724010783553e-314
314330,4244836,2.47032822920623e-317
314386,495254,1.97626258336499e-317
314565,691370,4.94065645841247e-318
315369,3020809,1.02123368995386e-314
315458,1435672,9.32301873702432e-315
316598,3987642,4.94065645841247e-315
316835,4589390,2.17388884170148e-314
316955,1944429,4.94065645841247e-316
317400,1812072,2.4723044917896e-314
318033,1705719,2.47032822920623e-314
318322,1438588,3.93819726300058e-314
318366,827299,2.39868871055925e-314
319209,1705719,2.47032822920623e-314
319634,1852492,4.99006302299659e-315
319756,3972008,3.45845952088873e-317
320382,5534563,7.79289743185398e-314
320510,5209869,4.44659081257122e-317
320576,5561465,7.79932028524992e-314
321014,5679246,7.27956322582493e-314
321109,4152228,5.45547286137904e-314
321112,986467,5.25636440610502e-314
321731,2481120,4.94065645841247e-318
322132,7505,2.4184513363929e-314
322379,1200193,3.41399361276301e-315
324515,890234,4.94065645841247e-318
325238,2241879,9.88131291682493e-318
325278,1476695,6.46484897583271e-314
325348,2637344,5.13828271674896e-316
326708,3250675,2.47032822920623e-315
326848,2958215,4.94065645841247e-318
328256,3415103,4.94065645841247e-318
330040,2156131,3.4006538403253e-314
331367,1652287,2.26282065795291e-314
332177,4659924,2.28357141507824e-314
332692,261206,8.6807333974307e-314
332882,6288004,8.49792910846944e-316
335044,260479,2.47032822920623e-314
335931,6432061,4.05133829589822e-316
336152,890234,4.94065645841247e-318
338148,1807700,3.49304411609761e-315
338182,4439447,4.94065645841247e-317
338963,890234,4.94065645841247e-318
339648,3071568,8.0206616945868e-314
340386,3415103,4.94065645841247e-318
341535,5813966,1.36856183898025e-315
342050,2705022,1.08249783003817e-313
343559,320950,9.88131291682493e-318
343823,194773,4.72346520050065e-313
343987,2424184,5.08887615216484e-316
344303,890234,4.94065645841247e-318
345830,1016281,1.53654415856628e-315
345929,890234,4.94065645841247e-318
346429,3944085,5.92878775009496e-315
346854,4548933,1.67883506456856e-314
348123,3415103,4.94065645841247e-318
348371,890234,4.94065645841247e-318
349278,378820,9.88131291682493e-318
350087,4950150,2.47032822920623e-317
350148,5939168,1.14129164189328e-315
350458,378820,9.88131291682493e-318
351114,6106078,5.05429155695595e-315
351716,3415103,4.94065645841247e-318
351943,676056,6.27463370218383e-316
352354,890234,4.94065645841247e-318
354370,890234,4.94065645841247e-318
357687,3628015,2.56914135837448e-316
358425,4442756,9.19950232556401e-315
359670,307189,3.45845952088873e-315
359755,3273372,2.47032822920623e-317
359923,5145521,1.23516411460312e-316
360108,5629594,2.47724514824801e-314
360227,472075,9.88131291682493e-318
360398,1940020,2.19068707366009e-314
361378,2328347,2.47032822920623e-317
361419,843350,5.82997462092671e-316
361497,4306419,2.22329540628561e-314
361918,1577265,2.47032822920623e-317
362377,3415103,4.94065645841247e-318
362861,3415103,4.94065645841247e-318
363586,1349517,1.39326512127232e-314
363850,4270594,1.23516411460312e-314
364826,2435751,2.47032822920623e-317
364929,472075,9.88131291682493e-318
365363,394051,4.99006302299659e-316
